x,y,z
-0.40000000000000013,-0.30000000000000004,0.5000000000000001
-0.3968127490039842,-0.262360073839339,0.5000000000000001
-0.39362549800796826,-0.22592460588907373,0.5000000000000001
-0.39043824701195234,-0.1906790260902076,0.5000000000000001
-0.3872509960159364,-0.15660876438374383,0.5000000000000001
-0.3840637450199204,-0.12369925071068569,0.5000000000000001
-0.38087649402390455,-0.09193591501203655,0.5000000000000002
-0.3776892430278886,-0.061304187228799566,0.5000000000000002
-0.3745019920318727,-0.03178949730197808,0.5000000000000002
-0.3713147410358567,-0.0033772751725753346,0.5000000000000002
-0.3681274900398407,0.023947049218405406,0.5000000000000001
-0.3649402390438248,0.05019804592996083,0.5000000000000001
-0.3617529880478088,0.07539028502108762,0.5
-0.3585657370517929,0.09953833655078254,0.5
-0.35537848605577693,0.12265677057804229,0.5
-0.352191235059761,0.14476015716186372,0.5000000000000001
-0.34900398406374517,0.16586306636124337,0.5000000000000001
-0.34581673306772914,0.18598006823517807,0.5000000000000001
-0.34262948207171323,0.20512573284266453,0.5000000000000001
-0.3394422310756973,0.22331463024269943,0.5000000000000001
-0.33625498007968135,0.24056133049427963,0.5000000000000001
-0.33306772908366544,0.25688040365640163,0.5000000000000001
-0.32988047808764936,0.27228641978806245,0.49999999999999994
-0.3266932270916335,0.2867939489482585,0.5
-0.3235059760956175,0.30041756119598656,0.49999999999999994
-0.32031872509960163,0.3131718265902436,0.5
-0.31713147410358566,0.32507131519002613,0.5
-0.31394422310756975,0.336130597054331,0.5000000000000001
-0.31075697211155384,0.34636424224215484,0.5
-0.3075697211155379,0.35578682081249424,0.5
-0.30438247011952196,0.3644129028243463,0.5
-0.30119521912350605,0.37225705833670736,0.5000000000000001
-0.29800796812749003,0.37933385740857445,0.5
-0.2948207171314741,0.38565787009894403,0.5000000000000001
-0.2916334661354582,0.39124366646681297,0.5000000000000001
-0.2884462151394423,0.39610581657117794,0.5
-0.28525896414342633,0.4002588904710358,0.5
-0.28207171314741036,0.403717458225383,0.5
-0.27888446215139445,0.40649608989321656,0.5
-0.27569721115537854,0.408609355533533,0.5000000000000001
-0.27250996015936263,0.4100718252053292,0.5000000000000001
-0.2693227091633467,0.41089806896760184,0.5
-0.2661354581673307,0.4111026568793473,0.5
-0.26294820717131484,0.41070015899956286,0.5
-0.2597609561752988,0.4097051453872449,0.5
-0.25657370517928285,0.4081321861013903,0.5
-0.2533864541832669,0.4059958512009955,0.49999999999999994
-0.250199203187251,0.40331071074505775,0.49999999999999994
-0.24701195219123506,0.40009133479257347,0.5
-0.24382470119521912,0.3963522934025392,0.49999999999999994
-0.24063745019920316,0.3921081566339518,0.49999999999999994
-0.23745019920318725,0.3873734945458083,0.49999999999999994
-0.2342629482071713,0.38216287719710496,0.5
-0.23107569721115534,0.3764908746468386,0.49999999999999994
-0.2278884462151394,0.37037205695400616,0.49999999999999994
-0.22470119521912346,0.36382099417760444,0.49999999999999994
-0.22151394422310752,0.35685225637662976,0.49999999999999994
-0.2183266932270916,0.34948041361007903,0.4999999999999999
-0.21513944223107564,0.34172003593694905,0.4999999999999999
-0.21195219123505973,0.33358569341623656,0.49999999999999994
-0.20876494023904382,0.32509195610693814,0.5
-0.20557768924302788,0.3162533940680507,0.5
-0.20239043824701194,0.3070845773585708,0.5
-0.199203187250996,0.2976000760374953,0.5
-0.19601593625498004,0.2878144601638205,0.49999999999999994
-0.19282868525896413,0.2777422997965439,0.5
-0.1896414342629482,0.2673981649946615,0.49999999999999994
-0.18645418326693225,0.2567966258171705,0.49999999999999994
-0.18326693227091634,0.24595225232306733,0.49999999999999994
-0.1800796812749004,0.2348796145713489,0.49999999999999994
-0.1768924302788845,0.2235932826210119,0.5
-0.17370517928286852,0.21210782653105273,0.49999999999999994
-0.17051792828685258,0.20043781636046876,0.49999999999999994
-0.16733067729083662,0.18859782216825605,0.5
-0.1641434262948207,0.17660241401341167,0.5
-0.16095617529880477,0.16446616195493238,0.5
-0.1577689243027888,0.1522036360518148,0.49999999999999994
-0.1545816733067729,0.1398294063630558,0.5
-0.15139442231075695,0.1273580429476517,0.5
-0.14820717131474104,0.1148041158645998,0.5
-0.14501992031872507,0.10218219517289624,0.5
-0.14183266932270916,0.08950685093153829,0.5
-0.13864541832669325,0.07679265319952229,0.5
-0.13545816733067728,0.064054172035845,0.5
-0.13227091633466134,0.05130597749950329,0.5
-0.1290836653386454,0.03856263964949381,0.5
-0.1258964143426295,0.02583872854481333,0.5
-0.12270916334661357,0.013148814244458608,0.5
