x,y,z
0.30000000000000004,0.30000000000000004,0.5000000000000001
0.28665312913151625,0.3130961808372874,0.5000000000000001
0.2733916968010139,0.3256111686569485,0.5
0.2602171094041798,0.337551995437418,0.5000000000000001
0.24713077333670094,0.34892569315713057,0.5000000000000001
0.2341340949942642,0.35973929379452074,0.5000000000000001
0.22122848077255663,0.3699998293280234,0.5000000000000001
0.20841533706726503,0.37971433173607305,0.5
0.19569607027407654,0.38888983299710467,0.5000000000000001
0.1830720867886779,0.39753336508955256,0.5000000000000001
0.17054479300675612,0.4056519599918517,0.5000000000000001
0.15811559532399808,0.4132526496824366,0.5
0.14578590013609077,0.42034246613974197,0.5
0.1335571138387212,0.42692844134220254,0.5000000000000001
0.1214306428275762,0.43301760726825284,0.5000000000000001
0.10940789349834266,0.43861699589632774,0.5
0.09749027224670763,0.4437336392048619,0.5000000000000001
0.08567918546835802,0.4483745691722899,0.5
0.07397603955898076,0.4525468177770466,0.5
0.06238224091426271,0.45625741699756633,0.5000000000000001
0.05089919592989088,0.4595133988122841,0.5
0.03952831100155228,0.46232179519963457,0.5000000000000001
0.028270992524933716,0.4646896381380521,0.49999999999999994
0.017128646895722216,0.4666239596059719,0.5000000000000001
0.006102680509604615,0.46813179158182805,0.49999999999999994
-0.004805500237732095,0.46922016604405575,0.5000000000000001
-0.01559448895060099,0.4698961149710893,0.5
-0.0262628792333151,0.47016667034136367,0.5
-0.03680926469018743,0.4700388641333135,0.5000000000000001
-0.0472322389255312,0.46951972832537303,0.5
-0.05753039554365944,0.46861629489597756,0.5
-0.06770232814888508,0.46733559582356143,0.5000000000000001
-0.07774663034552137,0.46568466308655937,0.5
-0.08766189573788122,0.4636705286634062,0.5000000000000001
-0.09744671793027772,0.4613002245325363,0.5
-0.10709969052702403,0.45858078267238467,0.5
-0.1166194071324331,0.4555192350613859,0.5
-0.1260044613508181,0.45212261367797435,0.4999999999999999
-0.13525344678649204,0.4483979505005852,0.5000000000000001
-0.1443649570437679,0.4443522775076529,0.49999999999999994
-0.15333758572695894,0.4399926266776121,0.5
-0.16216992644037798,0.43532602998889747,0.5
-0.17086057278833833,0.4303595194199436,0.4999999999999999
