scenario,real_time_plot,lateral_angle_range,drag_speed,wiggle_time,servo_speed,extraction_height,wiggle frequency,insertion_angle,wiggle_amplitude
turtle,True,0.6108652381980153,0.1,0.2,0.863,0.0,10.0,0.03,0.01
time,turtle_state,leftadduction_pos,leftsweeping_pos,rightadduction_pos,rightsweeping_pos,leftadduction_curr,leftsweeping_curr,rightadduction_curr,rightsweeping_curr,OptitrackPosition_x,OptitrackPosition_y,OptitrackPosition_z,OptitrackOrientation_x,OptitrackOrientation_y,OptitrackOrientation_z,OptitrackOrientation_w,LeftFlipperPosition_x,LeftFlipperPosition_y,LeftFlipperPosition_z,LeftFlipperOrientation_x,LeftFlipperOrientation_y,LeftFlipperOrientation_z,LeftFlipperOrientation_w,RightFlipperPosition_x,RightFlipperPosition_y,RightFlipperPosition_z,RightFlipperOrientation_x,RightFlipperOrientation_y,RightFlipperOrientation_z,RightFlipperOrientation_w
0.011759757995605469,5.0,0.0,0.0,0.017809569835662842,0.15713286399841309,0.0,0.0,-19.979999542236328,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013237237930297852,5.0,0.0,0.0,0.017809569835662842,0.15713286399841309,0.0,0.0,-19.979999542236328,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014368057250976562,5.0,0.0,0.0,0.017809569835662842,0.15713286399841309,0.0,0.0,-19.979999542236328,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015504837036132812,5.0,0.0,0.0,0.017809569835662842,0.15713286399841309,0.0,0.0,-19.979999542236328,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020946264266967773,5.0,0.0,0.0,0.017809689044952393,0.15713286399841309,0.0,0.0,-19.979999542236328,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02286815643310547,5.0,0.0,0.0,0.017809689044952393,0.15713286399841309,0.0,0.0,-19.979999542236328,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0243227481842041,5.0,0.0,0.0,0.017809689044952393,0.15713286399841309,0.0,0.0,-19.979999542236328,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025605201721191406,5.0,0.0,0.0,0.017809689044952393,0.15713286399841309,0.0,0.0,-19.979999542236328,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.026917695999145508,5.0,0.0,0.0,0.017809689044952393,0.15713286399841309,0.0,0.0,-19.979999542236328,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.027997970581054688,5.0,0.0,0.0,0.017809689044952393,0.15713286399841309,0.0,0.0,-19.979999542236328,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.029326438903808594,5.0,0.0,0.0,0.017809689044952393,0.15713286399841309,0.0,0.0,-19.979999542236328,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.030432701110839844,5.0,0.0,0.0,0.017809689044952393,0.15713286399841309,0.0,0.0,-19.979999542236328,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03164100646972656,5.0,0.0,0.0,0.017809569835662842,0.15713286399841309,0.0,0.0,-19.979999542236328,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.032903432846069336,5.0,0.0,0.0,0.017809569835662842,0.15713286399841309,0.0,0.0,-19.979999542236328,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.034252166748046875,5.0,0.0,0.0,0.017809689044952393,0.1571342945098877,0.0,0.0,-19.9265079498291,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03539299964904785,5.0,0.0,0.0,0.017809569835662842,0.15716445446014404,0.0,0.0,-19.929231643676758,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0366063117980957,5.0,0.0,0.0,0.017809569835662842,0.15716445446014404,0.0,0.0,-19.929231643676758,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.037713050842285156,5.0,0.0,0.0,0.017809569835662842,0.15716445446014404,0.0,0.0,-19.929231643676758,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03885793685913086,5.0,0.0,0.0,0.017809569835662842,0.15716445446014404,0.0,0.0,-19.929231643676758,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0401608943939209,5.0,0.0,0.0,0.017809569835662842,0.15716445446014404,0.0,0.0,-19.929231643676758,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0412440299987793,5.0,0.0,0.0,0.017809569835662842,0.15716445446014404,0.0,0.0,-19.929231643676758,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04230999946594238,5.0,0.0,0.0,0.017809569835662842,0.15716445446014404,0.0,0.0,-19.929231643676758,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04452657699584961,5.0,0.0,0.0,0.017809569835662842,0.15716445446014404,0.0,0.0,-19.929231643676758,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04620242118835449,5.0,0.0,0.0,0.017809569835662842,0.15716195106506348,0.0,0.0,-19.929956436157227,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05055117607116699,5.0,0.0,0.0,0.017808377742767334,0.15713238716125488,0.0,0.0,-19.93938636779785,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.051912546157836914,5.0,0.0,0.0,0.01781022548675537,0.15713274478912354,0.0,0.0,-19.9475154876709,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.053519487380981445,5.0,0.0,0.0,0.017809689044952393,0.1571330428123474,0.0,0.0,-19.943910598754883,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05462241172790527,5.0,0.0,0.0,0.017809569835662842,0.15713286399841309,0.0,0.0,-19.94581413269043,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05575203895568848,5.0,0.0,0.0,0.017809569835662842,0.15713286399841309,0.0,0.0,-19.947265625,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.057187557220458984,5.0,0.0,0.0,0.017809569835662842,0.15713286399841309,0.0,0.0,-19.947265625,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.058447837829589844,5.0,0.0,0.0,0.017809569835662842,0.15713286399841309,0.0,0.0,-19.947265625,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05971693992614746,5.0,0.0,0.0,0.017809569835662842,0.15713286399841309,0.0,0.0,-19.947265625,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06090354919433594,5.0,0.0,0.0,0.017809569835662842,0.15713286399841309,0.0,0.0,-19.947265625,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.062276363372802734,5.0,0.0,0.0,0.017809569835662842,0.15713286399841309,0.0,0.0,-19.947265625,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06349039077758789,5.0,0.0,0.0,0.017809569835662842,0.15713286399841309,0.0,0.0,-19.947265625,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0646214485168457,5.0,0.0,0.0,0.017809569835662842,0.15713286399841309,0.0,0.0,-19.947265625,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06570553779602051,5.0,0.0,0.0,0.017809569835662842,0.15713286399841309,0.0,0.0,-19.947265625,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06678438186645508,5.0,0.0,0.0,0.017809569835662842,0.15713286399841309,0.0,0.0,-19.947265625,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06795811653137207,5.0,0.0,0.0,0.017809569835662842,0.15713286399841309,0.0,0.0,-19.947265625,19.979999542236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
